id,题型,风险,解析重合度,题干,选项,原答案,现答案(参考库),确认答案(待填),参考库解析
19,single,★高风险(解析串台),0.0,在学法用法的实践中，施工企业有时会遇上法规冲突，届时可通过专业咨询服务得到解决，但若能自己通过学习获得解决或理解，则更能提高 （　　） 的效率。,A.企业运营 / B.生产运营 / C.生产劳动 / D.个人能力,B,A,,
34,single,★高风险(解析串台),0.0,下列选项中，不属于安全生产主体责任的特点是 （　　） 。,A.安全生产法定责任是主体责任的底线 / B.安全生产主体责任内涵不断与时俱进 / C.安全生产主体责任地方法规政策概览 / D.安全生产主体责任因企业不同而各有特点,C,D,,2.1.2.3 安全生产主体责任的特点 1.安全生产法定责任是主体责任的底线 2.安全生产主体责任内涵不断与时俱进 3. 安全生产主体责任因行业不同而各有特点 4.安全生产主体责任地方法规政策概览
64,single,★高风险(解析串台),0.0,工程承建企业跨省施工的，工程所在地省级建设主管部门应当在事故发生之日起 （　　） 日内将事故基本情况书面通报颁发管理机关，同时附具企业及有关项目违法违规事实和证明安全生产条件降低的相关询问笔录或其它证据材料。,A.10 / B.15 / C.20 / D.30,D,B,,
96,single,★高风险(解析串台),0.0,下列选项中不是标准特性的是 （　　） 。,A.权威性 / B.强制性 / C.民主性 / D.实用性,C,B,,标准的特性是： 一是权威性。 二是民主性。 三是实用性。 四是科学性。
138,single,★高风险(解析串台),0.0,下列起重机械中，属于特种设备的是 （　　） 。,A.额定起重量0.5t的升降机 / B.额定起重量2t的起重机 / C.起重力矩30t ·m的塔式起重机 / D.生产率200t/h的装卸桥,C,A,,起重机械，是指用于垂直升降或者垂直升降并水平移动重物的机电设备，其范围规定为额定起重量大于或者等于0.5t的升降机；额定起重量大于或者等于3t（或额定起重力矩大于或者等于40t·m的塔式起重机，或生产率大于或者等于300t/h的装卸桥），且提升高度大于或者等于2m的起重机；层数大于或者等于2层的机械式停车设备。
145,single,★高风险(解析串台),0.0,根据《建筑起重机械安全监督管理规定》，施工总承包单位应当履行的安全职责不正确的是 （　　） 。,A.向安装单位提供拟安装设备位置的基础施工资料 / B.审核安装单位、使用单位的资质证书 / C.审核使用单位制定的生产安全事故应急救援预案 / D.审核安装单位制定的防止塔吊相互碰撞的方案,C,D,,
274,single,★高风险(解析串台),0.0,对符合要求的工地进行安全生产标准化竣工确认，并在确认后 （　　） 工作日内向建设单位发放《终止施工安全监督告知书》。,A.3个 / B.5个 / C.7个 / D.10个,C,B,,
292,single,★高风险(解析串台),0.0,根据《上海市建设工程施工安全监督管理办法》第八条第二款规定，施工单位不得安排未接受过安全教育、技术培训并经考核合格的施工人员上岗作业。使用无证人员多于30人或者占施工人员总数25%以上，责令限期改正，并可处以 （　　） 的罚款。,A.3万元以上5万元以下 / B.1万元以上5万元以下 / C.5万元以上10万元以下 / D.2万元以上5万元以下,D,A,,
299,single,★高风险(解析串台),0.0,开挖深度 （　　） m及以上的基坑（槽）的土方开挖、支护、降水工程属于Ⅰ类危险等级。,A.3 / B.5 / C.15 / D.24,B,C,,
314,single,★高风险(解析串台),0.0,以下选项中， （　　） 用于非软土基坑时，基坑深度不宜大于12m；用于淤泥质土基坑时，基坑深度不宜大于6m；不宜用在高水位的碎石土、砂土层中。,A.预应力锚杆复合土钉墙 / B.水泥土桩复合土钉墙 / C.微型桩复合土钉墙 / D.单一土钉墙,C,B,,"水泥土桩复合土钉墙适用于非软土基坑,且基坑深度不宜大于12m"
316,single,★高风险(解析串台),0.0,施工期间土钉墙支护坡顶应按荷载 （　　） 设计要求控制施工荷载。,A.超载值 / B.标准值 / C.组合值 / D.代表值,D,A,,
377,single,★高风险(解析串台),0.0,依据《建筑施工扣件式钢管脚手架安全技术规范》JGJ130，常用密目式安全立网全封闭式单、双排脚手架的设计尺寸表格适用于地面粗糙度为 （　　） 类地区。,A.A / B.B / C.C / D.D,B,C,,地面粗糙度可分为A、B、C、D四类： 一A类指近海海面和海岛、海岸、湖岸及沙漠地区； 一B类指田野、乡村、丛林、丘陵以及房屋比较稀疏的乡镇和城市郊区； 一C类指有密集建筑群的城市市区； —D类指有密集建筑群且房屋较高的城市市区。
390,single,★高风险(解析串台),0.0,下列关于加强型满堂支撑架说法错误的是 （　　） 。,A.在竖向剪刀撑顶部交点平面应设置水平剪刀撑 / B.水平剪刀撑至架体底平面距离与水平剪刀撑间距不宜超过8m / C.剪刀撑宽度应为3m~5m / D.竖向剪刀撑斜杆与地面的倾角应为45°~60°,C,B,,"剪刀撑设置 a）剪刀撑的构造：剪刀撑斜杆的接长宜采用搭接；剪刀撑斜杆应用旋转扣件固定在与之相交的横向水平杆的伸出端或立杆上，旋转扣件中心线至主节点的距离不宜大于150mm。 b）在竖向剪刀撑顶部交点平面应设置水平剪刀撑，水平剪刀撑至架体底平面距离与水平剪刀撑间距不宜超过6m，剪刀撑宽度应为3～5m。 c)竖向剪刀撑斜杆与地面的倾角应为45～60,水平剪刀撑与支架纵（或横）向夹角应为45～60°。 d)满堂支架的可调底座、可调托撑螺杆伸出长度不宜超过300mm，插入立杆内的长度不得小于150mm。"
402,single,★高风险(解析串台),0.0,采用悬挑、密目式安全网全封闭搭设的门式脚手架，搭设高度>60米，则每根连墙件覆盖面积≤ （　　） ㎡。,A.15 / B.22 / C.33 / D.40,C,B,,
404,single,★高风险(解析串台),0.0,门式满堂作业架的搭设高度应 （　　） 。,A.≤36m / B.≤30m / C.≥30m / D.≥36m,B,A,,《建筑施工门式钢管脚手架安全技术标准》
477,single,★高风险(解析串台),0.0,高处作业活动范围与220v带电体的距离应小于 （　　） 。,A.1.7m / B.2.5m / C.4m / D.5m,A,C,,
591,single,★高风险(解析串台),0.0,一般自升塔式起重机的安装程序中，安装平衡臂后，应当 （　　） 。,A.安装起重臂和变幅小车，穿绕起升钢丝绳 / B.组拼安装转台、回转支承装置 / C.顶升接高标准节到需要高度 / D.安装塔帽和驾驶室,D,A,,铺设轨道基础或固定基础→安装行走台车及底架→安装塔身基础节和两个标准节→安装斜撑杆→放置压重→安装顶升套架和液压顶升装置→组拼安装转台、回转支承装置。承座及过渡节→安装塔帽和驾驶室→装平衡臂→安装起重臂和变幅小车，穿绕起升钢丝绳→顶升接高标准节到需要高度。
624,single,★高风险(解析串台),0.0,有限空间作业监护者的职责不包括 （　　） 。,A.接受本单位职业卫生培训，持证上岗 / B.检查、验证应急救援服务、呼叫方法的效果 / C.在作业者作业期间保证在密闭空间外持续监护 / D.与作业者进行必要有效的安全、报警、撤离等信息沟通,B,A,,
631,single,★高风险(解析串台),0.0,有限空间作业时应保证足够照明，照明灯采用带胶罩的工作灯，照明电压应小于 （　　） V。,A.48 / B.36 / C.24 / D.12,C,B,,进入有限空间作业应有足够的照明，设备内照明电压应不大于36V。在潮湿或狭小容器内作业应小于12V，所有灯具及电动工具必须符合防潮、防爆等安全要求；
673,single,★高风险(解析串台),0.0,配电箱、开关箱内电器安装，电器至板边最小净距为 （　　）  mm。,A.20 / B.30 / C.40 / D.50,B,C,,
734,single,★高风险(解析串台),0.0,下列选项中不是每年编制的安全资料是 （　　） 。,A.总分包协议综合交底 / B.交底 / C.三级教育卡 / D.施工安全生产管理制度,C,B,,每年：总分包协议综合交底、施工管理人员安全生产岗位责任制（人员调动及时换）、三级教育卡、施工安全生产管理制度、职工家属安全责任状、防火安全、行车安全责任状协议。 项目部安全教育培训按计划表执行，保持每月2-3次 落地式脚手架验收以单位工程（每栋楼）验收，基础验收1次，每达到6-8米时验收1次，搭设完成整体验收1次。悬挑式脚手架验收，槽钢层（悬挑基础）验收1次，每三层（不超过10米）一次，搭设到规定高度整体验收1次（一般18米，基本上每一悬挑需要验收3次，以单位工程验收，如果作业面较大以单位工程分段验收） 临边、洞口安全防护设施验收一层一次（以单位工程验收，如果作业面较大以单位工程分段验收）验收记录必须有项 目经理签字。模板工程及支撑体系安全验收记录每层一次（以单位工程验收，如果作业面较大以单位工程分段验收）
742,single,★高风险(解析串台),0.0,距配电屏 （　　） m范围内不应设置可能产生较多易燃、易爆气体、粉尘的作业区。,A.2 / B.3 / C.4 / D.5,A,D,,《建设工程施工现场消防安全技术规范》，6.3.2.5
787,single,★高风险(解析串台),0.0,据悉，某排水管线迁移工程在建工地，因降雨沟槽一侧土体松动下滑，致沟内作业工人被困。基坑边坡的顶部应设排水措施，在边坡顶部挖纵向坡度不小于 （　　） 的排水沟。,A.1‰ / B.2‰ / C.3‰ / D.4‰,B,C,,排水沟设置坡度的目的是确保雨水能顺畅排出，避免积水回流渗入边坡土体。根据《建筑施工土石方工程安全技术规范》（JGJ 180）等相关标准，施工现场排水沟的纵向坡度通常不应小于 0.3%（即 3‰），以保证排水流畅，减少雨水滞留对边坡稳定性的影响。
819,multiple,★高风险(解析串台),0.0,建筑施工企业相比于矿山企业、危险化学品、烟花爆竹、民用爆炸物品生产企业，其危险特点有所不同，主要在于 （　　） 等。,A.突发性 / B.不可控性 / C.频率高 / D.范围不定 / E.劳动者的素质较低,ACD,CDE,,
828,multiple,★高风险(解析串台),0.0,企业收到《上海市住房和城乡建设管理委员会行政审批告知承诺书》， （　　） 后，在网上进行建筑施工企业安全生产许可证申请填报。,A.签收 / B.确认 / C.核对 / D.作出承诺 / E.回复响应,AD,BD,,
832,multiple,★高风险(解析串台),0.0,安委会一般包含主要负责人（最高管理者，党政同责），企业各分管领导、各职能部门负责人、工会代表组成，任务是 （　　） 企业重大安全生产问题。,A.调查 / B.研究 / C.分析 / D.讨论 / E.解决,BCDE,BCE,,
834,multiple,★高风险(解析串台),0.0,"申请参加安全生产考核的“安管人员”，应当具备 （　　） ,与企业确立劳动关系，并经企业年度安全生产教育培训合格。",A.相应文化程度 / B.专业工作年限 / C.专业技术职称 / D.一定安全生产工作经历 / E.专业工作职位,ABD,ACD,,
840,multiple,★高风险(解析串台),0.0,下列选项中属于企业安委会组成的是 （　　） 。,A.企业主要负责人 / B.企业各分管领导 / C.各职能部门负责人 / D.工会代表 / E.一线工人代表,ABCD,ABCDE,,
845,multiple,★高风险(解析串台),0.0,依据《建筑施工企业安全生产管理机构设置及专职安全生产管理人员配备办法》的规定，分包单位配备项目专职安全生产管理人员应当满足的要求，下列说法不正确的有 （　　） 。,A.劳务分包单位施工人员在50人以下的，应当配备1名专职安全生产管理人员 / B.劳务分包单位施工人员在50人以下的，不需要配备专职安全生产管理人员 / C.劳务分包单位施工人员200人及以上的，应当配备3名及以上专职安全生产管理人员，并根据所承担的分部分项工程施工危险实际情况增加，不得少于工程施工人员总人数的5‰。 / D.劳务分包单位施工人员50人-200人的，应当配备1名专职安全生产管理人员 / E.劳务分包单位施工人员50人-200人的，应当配备2名专职安全生产管理人员,BE,BD,,
847,multiple,★高风险(解析串台),0.0,建设工程安全生产标准化是从 （　　） 发展和引申而来的。,A.标准 / B.标准化 / C.安全标准化 / D.企业安全生产标准化 / E.国家安全生产标准化,BC,ABCD,,
851,multiple,★高风险(解析串台),0.0,安全生产标准化强调过程控制和系统管理，将贯彻国家有关法律法规、标准规程的行为过程及结果定量化或定性化，使安全生产工作处于可控状态，并通过 （　　） 等方式、方法和手段的结合，形成了有效的安全生产激励约束机制。,A.内部评审 / B.外部评审 / C.建模考核 / D.绩效考核 / E.评分考核,ABDE,AD,,
855,multiple,★高风险(解析串台),0.0,《建筑施工安全生产标准化考评暂行办法》明确，建筑施工企业具有 （　　） 之一的，安全生产标准化评定为不合格。,A.未按规定开展企业自评工作的 / B.企业近三年所承建的项目发生较大及以上生产安全责任事故的 / C.企业近三年所承建已竣工项目不合格率超过5%的 / D.省级及以上住房城乡建设主管部门规定的其他情形 / E.企业近三年所承建的项目发生一般及以上生产安全责任事故的,ABD,ABCD,,
868,multiple,★高风险(解析串台),0.0,根据《装配整体式混凝土结构工程施工安全管理规定》，下列关于其专项施工方案的主要内容，下列说法正确的有 （　　） 。,A.预制构件堆放、驳运及吊装 / B.高处作业的安全防护 / C.专用操作平台、脚手架等设施及其附着设施 / D.垂直爬梯及吊篮等设施及其附着设施 / E.构件安装的临时支撑体系,ABCE,ABCDE,,专项施工方案应包括以下主要内容： （一）预制构件堆放、驳运及吊装，包括：现场装卸、堆放及驳运、吊装方式和路线；构件堆场的地基承载力计算；吊装设备选型，吊具设计；构件吊点、塔吊施工升降机附墙点等设计； （二）高处作业的安全防护，包括：因临边安装构件、连接节点现浇混凝土及成品保护修补所采取的防护措施以及交叉作业安全防护等； (三）专用操作平台、脚手架、垂直爬梯及吊篮等设施，及其附着设施； (四）构件安装的临时支撑体系等。
872,multiple,★高风险(解析串台),0.0,根据《上海市危险性较大的分部分项工程专家论证管理办法》，对参加危险性较大的分部分项工程专项方案论证会议的对象有明确规定，下列选项正确的有 （　　） 。,A.论证组成员 / B.建设单位项目负责人或技术负责人 / C.监理单位项目总监理工程师及专业监理工程师 / D.勘察、设计单位项目技术负责人及相关人员 / E.监督机构必须派员参加,ABCD,ABD,,第⼗六条（论证会议对象）下列⼈员应当参加专项⽅案论证会议： （⼀）论证组成员； （⼆）建设单位项⽬负责⼈或技术负责⼈； （三）监理单位项⽬总监理⼯程师及相关⼈员； （四）施⼯企业技术负责⼈、项⽬负责⼈、专项⽅案编制⼈员、项⽬专职安全⽣产管理⼈员； （五）勘察、设计单位项⽬技术负责⼈及相关⼈员； （六）监督机构视需要派员参加。
881,multiple,★高风险(解析串台),0.0,根据《建筑施工特种作业人员管理规定》，不属于考核发证机关应当注销建筑施工特种作业资格证书的情形是 （　　） 。,A.依法不予延期的 / B.持证人逾期未申请办理延期复核手续的 / C.持证人弄虚作假骗取办理延期复核手续的 / D.持证人弄虚作假骗取资格证书 / E.持证人死亡或者不具有完全民事行为能力的,D,CD,,第三十条 有下列情形之一的，考核发证机关应当注销资格证书： （一）依法不予延期的； （二）持证人逾期未申请办理延期复核手续的； （三）持证人死亡或者不具有完全民事行为能力的； （四）考核发证机关规定应当注销的其他情形。
889,multiple,★高风险(解析串台),0.0,建筑施工现场要坚持 （　　） 的原则，重点加强建筑施工消防安全管理工作，彻底消除火灾隐患。,A.安全自查 / B.监理监督 / C.隐患自除 / D.责任自负 / E.失职追责,ACDE,ACD,,
911,multiple,★高风险(解析串台),0.0,根据《生产安全事故应急条例》规定，应急救援队伍应当配备必要的应急救援 （　　） ，并定期组织训练。,A.设备 / B.物品 / C.物资 / D.器材 / E.装备,ADE,CE,,
924,multiple,★高风险(解析串台),0.0,以下情形不属于《上海市建设工程安全生产责任保险实施意见》规定的保险责任的有 （　　） 。,A.被责令停产、停业、关闭后擅自从事经营活动发生的事故 / B.投保单位或其从业人员或者第三者故意行为造成的生产安全事故 / C.违法行为造成的生产安全事故 / D.不可抗力造成的生产安全事故 / E.间接损失,ABCDE,ABCE,,第九条 下列原因造成的损失、费用或责任，保险人不负责赔偿：（三）自然灾害等不可抗力，但因被保险人防范措施不落实、应急、救援预案或者防范救援措施不力的情况下，由自然灾害等不可抗力引发造成的事故不在此限；
948,multiple,★高风险(解析串台),0.0,《建筑工程绿色施工评价标准》规范了绿色施工评价的方法，实施评价的基本思路是： （　　） 。,A.实用 / B.简便 / C.经济 / D.节约 / E.有效,ABE,ABD,,
982,multiple,★高风险(解析串台),0.0,安全生产技术交底活动需要对将要开工的工程施工项目通过 （　　） 的排查，找出现实中存在的不安全因素，制定相应的对策，防止作业中的危害。,A.施工机械 / B.施工现场 / C.危险源 / D.施工人员 / E.施工风险,ABC,CE,,
988,multiple,★高风险(解析串台),0.0,编制专项施工方案，更好地指导基坑支护开挖作业，确保 （　　） 的安全。,A.基坑 / B.支护 / C.作业人员 / D.支撑 / E.机械设备,ABC,ABCDE,,
991,multiple,★高风险(解析串台),0.0,基坑工程中，以下关于支挡式结构说法正确的是 （　　） 。,A.悬臂式结构的支挡适用于较深的基坑 / B.排桩适用于可采用降水或截水帷幕的基坑 / C.支护结构与主体结构结合的逆作法适用于较深的基坑 / D.拉锚式结构适用于较深的基坑 / E.锚杆适用于软土层和高水位的碎石土、砂土层中,BCE,BCD,,悬臂式围护结构适用于土质较好、开挖深度较浅的基坑工程。 支护结构与主体结构结合的逆作法 适用于基坑周边环境条件很复杂的深基坑。 锚杆不宜用在软土层和高水位的碎石土、砂土层中。
995,multiple,★高风险(解析串台),0.0,下列关于地下连续墙钢筋笼吊装施工说法错误的是 （　　） 。,A.吊装所选用的起重机应满足吊装高度及起重量的要求，主吊和副吊应根据经验确定 / B.采用双机抬吊作业时，应统一指挥，动作应配合协调，载荷应分配合理 / C.起重机械在吊钢筋笼行走时，载荷不得超过允许起重量的75% / D.钢筋笼离地不得大于500mm，并应栓好拉绳，缓慢行驶 / E.钢筋笼应设置定位垫块，垫块在水平方向上的间距宜取3m～5m，在垂直方向上宜每层设置2块～3块,AC,ACE,,"吊装所选用的吊车应满足吊装高度及起重量的要求，主吊和副吊应根据计算确定。 起重机械在吊钢筋笼行走时，载荷不得超过允许起重量的70％，钢筋笼离地不得大于500mm，并应拴好拉绳，缓慢行驶。 钢筋笼应设置定位垫块,垫块在垂直方向上的间距宜取 3～5m,在水平方向上宜每层设置 2～3 块。"
996,multiple,★高风险(解析串台),0.0,下列关于排桩围护墙的说法正确的是 （　　） 。,A.干作业挖孔时孔口周边必须设置护栏，护栏高度不应小于0.5m / B.采用混凝土灌注桩时，单桩的纵向受力钢筋不宜少于5根 / C.钻机施工时，当桩孔净间距过小或采用多台钻机同时施工时，相邻桩应间隔施工，当无特别措施时完成浇筑混凝土的桩与邻桩间距不宜小于4倍桩径，或间隔施工时间宜大于36h / D.采用混凝土灌注桩时，对锚拉式排桩或支撑式排桩，支护桩的桩径宜大于或等于300mm；排桩的中心距不宜大于桩直径的3.0倍 / E.排桩桩间土应采取防护措施。喷射混凝土面层的厚度不宜小于50mm，混凝土强度等级不宜低于C20，混凝土面层内配置的钢筋网的纵横向间距不宜大于200mm,BCE,CE,,孔口周边必须设置护栏，护栏高度不应小于0.8m。 纵向受力钢筋宜选用HRB400、HRB500钢筋，单桩的纵向受力钢筋不宜少于8根。 当桩孔净间距过小或采用多台钻机同时施工时，相邻桩应间隔施工，当无特别措施时完成浇筑混凝土的桩与邻桩间距不应小于4倍桩径，或间隔施工时间宜大于36h。 采用混凝土灌注桩时，对悬臂式排桩，支护桩的桩径宜大于或等于600mm；对锚拉式排桩或支撑式排桩，支护桩的桩径宜大于或等于400mm；排桩的中心距不宜大于桩直径的2.0倍。 排桩桩间土应采取防护措施。桩间土防护措施宜采用内置钢筋网或钢丝网的喷射混凝土面层。喷射混凝土面层的厚度不宜小于50mm，混凝土强度等级不宜低于C20，混凝土面层内配置的钢筋网的纵横向间距不宜大于200mm。
998,multiple,★高风险(解析串台),0.0,基坑降排水的安全生产目标包括 （　　） 。,A.防止地表水流入基坑而浸泡地基，影响地基承载力 / B.保障施工机械正常工作 / C.防止基坑坑底被水浸泡后造成基坑安全性的降低 / D.防止边坡土方坍塌，影响施工进度 / E.对基坑施工范围内的地下水进行控制,ACE,ACDE,,
1000,multiple,★高风险(解析串台),0.0,基坑降水应根据场地的 （　　） 等，选择合理降水井类型、设备和方法。,A.水文地质条件 / B.基坑面积 / C.开挖深度 / D.各土层的渗透性 / E.周边环境,ABCDE,ABCD,,
1007,multiple,★高风险(解析串台),0.0,基坑监测方案应包括以下内容 （　　） 。,A.工程概况 / B.监测依据、项目、测点布置和监测方法 / C.监测元件和仪器 / D.监测频率和报警值 / E.资料整理方法及监测成果形成,ABCDE,ABCD,,
1018,multiple,★高风险(解析串台),0.0,关于爬模作业，下列说法正确的是 （　　） 。,A.爬升时，作业人员应站在爬升件上，防止模板爬升过程中晃动与扭转 / B.爬升前，应检查确认各个爬升模板单元已彻底分开 / C.爬架底部亦应满铺脚手板和设置安全网。 / D.支架爬升时的附墙架穿墙螺栓受力处的新浇混凝土强度应达到10N/m㎡ / E.每单元爬升完毕应及时固定,BCE,BCDE,,爬升时，应先收紧千斤钢丝绳，吊住大模板或支架，然后拆卸穿墙螺栓，并检查再无任何连接，卡环和安全钩无问题，调整好大模板或支架的重心，保持垂直，开始爬升。爬升时，作业人员应站在固定件上，不得站在爬升件上爬升，爬升过程中应防止晃动与扭转。
1024,multiple,★高风险(解析串台),0.0,脚手架斜道的构造应符合下列规定 （　　） 。,A.斜道宜附着外脚手架设置 / B.拐弯处应设置平台 / C.平台宽度不应小于斜道宽度 / D.人行斜道宽度不宜小于1m，坡度宜采用1：3 / E.斜道两侧及平台外围均应设置栏杆及挡脚板,ABCE,ABCDE,,6.7.2斜道的构造应符合下列规定： （1）斜道宜附着外脚手架或建筑物设置。 （2）运料斜道宽度不宜小于1.5米，坡度宜采用1：6，人行斜道宽度不宜小于1米，坡度宜采用1：3。 （3）拐弯处应设置平台，其宽度不应小于斜道宽度。 （4）斜道两侧及平台外围均应设置栏杆及挡脚板。栏杆高度应为1.2米，挡脚板高度不应小于180毫米。 （5）运料斜道两侧、平台外围和端部均应按本规范第6.4.1～6.4.6条的规定设置连墙件。每两步应加设水平斜杆。应按本规范第6.6.2和6.6.3条的规定设置剪刀撑和横向斜撑。
1029,multiple,★高风险(解析串台),0.0,每搭完一步支模架后，应及时校正 （　　） 。,A.水平杆步距 / B.立杆的纵距 / C.立杆的横距 / D.立杆的垂直偏差 / E.水平杆的水平偏差,ABCD,ABCDE,,
1037,multiple,★高风险(解析串台),0.0,竖向主框架与水平支承结构采用铰接点连接时，各杆件轴线应交汇于一点，可采用 （　　） 的形式。,A.侧面连接 / B.上下连接 / C.焊接 / D.扣件连接 / E.穿套式连接,CD,ABE,,
1042,multiple,★高风险(解析串台),0.0,市政类钢结构工程安全要点中，对当天作业内容、部位、顺序等进行交代，包括 （　　） 。,A.作业面平面区域的施工内容 / B.本方施工区域临边防护 / C.汽车吊及履带吊的位置及可能涉及的影响 / D.施工当天天气情况 / E.钢箱梁的施工高度,ABC,ACE,,
1063,multiple,★高风险(解析串台),0.0,对于玻璃幕墙专项要求，中空玻璃气体层厚度不应小于9mm，宜采双单道密封，其中明框玻璃幕墙的中空玻璃可采用 （　　） 。,A.玻璃胶 / B.丁基密封胶 / C.聚硫密封胶 / D.硅酮结构胶 / E.耐候胶,BC,CD,,明框玻璃幕墙用中空玻璃的二道密封宜采用聚硫类中空玻璃密封胶，也可采用硅酮密封胶。
1066,multiple,★高风险(解析串台),0.0,拆除工程施工的安全生产目标，以下说法正确的有 （　　） 。,A.确保拆除过程无重大人身伤亡事故发生 / B.无重大交通责任事故发生 / C.无火灾事故发生 / D.职工重伤率0.03%以下以及轻伤率3%以下 / E.保证拆除工程中的人民生命和财产安全,ABCE,ABCDE,,
1084,multiple,★高风险(解析串台),0.0,装配整体式混凝土结构工程施工的专项施工方案应包括 （　　） 。,A.预制构件堆放、堆场加固、驳运及吊装 / B.吊装机械选型及平面布置 / C.高处作业、交叉作业的安全防护 / D.构件安装临时支撑体系 / E.可能发生的危害和突发事件应急预案,ABCDE,ABCD,,专项施工方案应包括以下主要内容： （一）预制构件堆放、驳运及吊装，包括：现场装卸、堆放及驳运、吊装方式和路线；构件堆场的地基承载力计算；吊装设备选型，吊具设计；构件吊点、塔吊施工升降机附墙点等设计； （二）高处作业的安全防护，包括：因临边安装构件、连接节点现浇混凝土及成品保护修补所采取的防护措施以及交叉作业安全防护等； （三）专用操作平台、脚手架、垂直爬梯及吊篮等设施，及其附着设施； （四）构件安装的临时支撑体系及基础承载力等。
1097,multiple,★高风险(解析串台),0.0,施工升降机安装完毕后，安装单位应验收的技术数据包括 （　　） 等。,A.接地电阻 / B.绝缘电阻 / C.垂直度数据 / D.水平度数据 / E.钢丝绳规格直径,ABC,ABCE,,
1106,multiple,★高风险(解析串台),0.0,某施工项目存在污水池等危险性较高场所的作业，下列企业的做法中，正确的有 （　　） 。,A.严格实行作业审批程度，严禁擅自进入污水池内作业 / B.先通风、后作业，严禁通风次数不够就作业 / C.对作业人员进行安全培训，严禁教育培训不合格人员上岗作业 / D.制定应急措施，严禁盲目施救 / E.将应急装备存放在专用仓库，避免遭到损坏,ABCD,ACD,,《有限空间安全作业五条规定》已废止。 有限空间安全作业五条规定： ⑴必须严格实行作业审批制度，严禁擅自进入有限空间作业。 ⑵必须做到“先通风、再检测、后作业”，严禁通风、检测不合格作业。 ⑶必须配备个人防中毒窒息等防护装备，设置安全警示标识，严禁无防护监护措施作业。 ⑷必须对作业人员进行安全培训，严禁教育培训不合格上岗作业。 ⑸必须制定应急措施，现场配备应急装备，严禁盲目施救。
